Name,SKU,Category,Brand,Size,Trap,Badge,Unit,Is Active
Texas 8007,8007,Wall Hung Basin,Toris,"L 445 × W 360 × H 120 mm (18""x14""x5"")",,,Piece,Yes
Astron 8008,8008,Wall Hung Basin,Toris,"L 470 × W 265 × H 115 mm (19""x10""x5"")",,,Piece,Yes
Rodeo 8009,8009,Wall Hung Basin,Toris,"L 485 × W 375 × H 190 mm (19""x15""x7"")",,,Piece,Yes
Helix 8010,8010,Wall Hung Basin,Toris,"L 475 × W 370 × H 140 mm (19""x15""x6"")",,New Arrival,Piece,Yes
Royal 8011,8011,Wall Hung Basin,Toris,"L 480 × W 250 × H 180 mm (19""x10""x7"")",,,Piece,Yes
Ruby 8012,8012,Wall Hung Basin,Toris,"L 470 × W 240 × H 140 mm (19""x9""x6"")",,,Piece,Yes
Allen 8013,8013,Wall Hung Basin,Toris,"L 450 × W 340 × H 130 mm (18""x13""x5"")",,,Piece,Yes
Ryzen 8014,8014,Wall Hung Basin,Toris,"L 455 × W 345 × H 140 mm (18""x14""x6"")",,,Piece,Yes
Rambler 8015,8015,Wall Hung Basin,Toris,"L 460 × W 240 × H 120 mm (18""x9""x5"")",,,Piece,Yes
Run 8016,8016,Wall Hung Basin,Toris,"L 460 × W 240 × H 120 mm (18""x9""x5"")",,,Piece,Yes
Decor 8017,8017,Wall Hung Basin,Toris,"L 400 × W 270 × H 135 mm (16""x11""x5"")",,New Arrival,Piece,Yes
Rust 8018,8018,Wall Hung Basin,Toris,"L 460 × W 355 × H 155 mm (18""x14""x6"")",,,Piece,Yes
Rainbow 8019,8019,Wall Hung Basin,Toris,"L 460 × W 310 × H 210 mm (18""x12""x8"")",,,Piece,Yes
Think 8020,8020,Wall Hung Basin,Toris,"L 455 × W 310 × H 135 mm (18""x12""x5"")",,,Piece,Yes
